record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
 
1 1 28.57 0:00:00:00.21/600 0:00:00:00.00/600 137.58 283.37 199.40 115.85 -1000.00 -1000.00 48.00 33.00 
2 2 29.27 0:00:00:00.41/600 0:00:00:00.21/600 93.70 361.49 221.60 147.98 -1000.00 -1000.00 48.00 33.00 
3 3 29.51 0:00:00:00.61/600 0:00:00:00.41/600 28.12 427.74 256.51 178.04 -1000.00 -1000.00 41.00 23.00 
4 4 29.63 0:00:00:00.81/600 0:00:00:00.61/600 16.36 422.94 262.77 176.49 -1000.00 -1000.00 38.00 29.00 
5 5 29.70 0:00:00:00.101/600 0:00:00:00.81/600 -8.01 413.37 276.00 173.39 -1000.00 -1000.00 36.00 26.00 
6 6 29.75 0:00:00:00.121/600 0:00:00:00.101/600 -31.03 404.36 288.81 170.39 -1000.00 -1000.00 39.00 27.00 
7 7 29.79 0:00:00:00.141/600 0:00:00:00.121/600 -32.54 402.52 289.63 169.64 -1000.00 -1000.00 38.00 28.00 
84 84 29.96 0:00:00:02.482/600 0:00:00:02.462/600 -37.21 402.92 292.32 170.01 -1000.00 -1000.00 34.00 27.00 
85 85 29.96 0:00:00:02.502/600 0:00:00:02.482/600 -36.80 401.39 292.05 169.32 -1000.00 -1000.00 32.00 26.00 
86 85 29.97 0:00:00:02.522/600 0:00:00:02.502/600 -35.99 400.79 291.57 169.02 -1000.00 -1000.00 34.00 24.00 
87 87 29.95 0:00:00:02.543/600 0:00:00:02.522/600 -36.01 399.53 291.55 168.46 -1000.00 -1000.00 32.00 26.00 
88 88 29.95 0:00:00:02.563/600 0:00:00:02.543/600 -36.70 398.41 291.93 167.99 -1000.00 -1000.00 27.00 24.00 
89 89 29.95 0:00:00:02.583/600 0:00:00:02.563/600 -37.47 396.39 292.32 167.13 -1000.00 -1000.00 28.00 23.00 
90 90 29.95 0:00:00:03.03/600 0:00:00:02.583/600 -38.44 391.63 292.77 165.06 -1000.00 -1000.00 32.00 28.00 
91 91 29.95 0:00:00:03.23/600 0:00:00:03.03/600 -38.55 386.65 292.73 162.86 -1000.00 -1000.00 32.00 24.00 
92 92 29.95 0:00:00:03.43/600 0:00:00:03.23/600 -38.31 379.90 292.44 159.87 -1000.00 -1000.00 33.00 27.00 
93 93 29.95 0:00:00:03.63/600 0:00:00:03.43/600 -37.68 372.65 291.92 156.66 -1000.00 -1000.00 31.00 29.00 
